Country,"Country ISO",Region,"Region ISO",Population,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
"Saudi Arabia",SA,,,25731776,25583119/38166414/687264/0/8940,25792668/40829579/745027/0/8998,26167138/41568977/750814/0/9045,26424390/41912766/754011/0/9088,26599329/42610541/768079/0/9148,26713922/43251385/795186/0/9208,0/0/809672/0/9251,26828122/0/813461/0/9295,26892699/0/816498/0/9352,26918732/0/822459/0/9407,26931916/0/825597/0/9464,26951666/0/827004/0/9518,0/0/827962/0/9574,27008761/0/829478/0/9614,27018975/0/833727/0/9631,27041364/0/840337/0/9643,0/0/841469/0/9646,0/0/841469/0/9646,0/0/841469/0/9646
Senegal,SN,,,12323252,1365479/995431/84999/0/1946,1448125/1033707/85693/0/1960,1457116/1072958/85895/0/1964,1465788/1099446/85997/0/1967,2300648/1102099/86111/0/1966,0/0/86325/0/1968,0/0/87386/0/1968,1471829/0/88098/0/1968,1504180/0/88398/0/1968,1732282/0/88679/0/1968,1949419/0/88873/0/1968,2051994/0/88900/0/1968,0/0/88902/0/1971,2684696/0/88917/0/1971,2684696/0/88973/0/1971,2684696/0/88997/0/1971,2684696/0/88999/0/1971,0/0/89005/0/1971,2684696/0/89011/0/1971
Serbia,RS,,,6963764,3334002/8171561/1677798/0/13629,3344161/8769892/1910975/0/15241,3347209/9203251/1976567/0/15799,0/9491908/2006353/0/15991,3353020/9720743/2017454/0/16081,3354075/9852899/2029403/0/16126,0/0/2123025/0/16280,0/0/2283195/0/16684,0/0/2361738/0/17006,0/0/2404112/0/17242,0/0/2423385/0/17387,0/0/2446253/0/17519,0/0/2471198/0/17701,0/0/2492563/0/17826,0/0/2518397/0/17968,0/0/2534605/0/18021,0/0/2541880/0/18053,0/0/2544001/0/18057,0/0/2544538/0/18057
Seychelles,SC,,,88340,83419/0/37190/0/154,84141/0/39336/0/163,84387/0/40421/0/164,84679/0/42502/0/166,84851/0/44016/0/167,84943/0/44669/0/167,85233/0/45429/0/168,85397/0/46081/0/169,85492/0/47141/0/169,85655/0/49035/0/171,85720/0/50068/0/171,85803/0/50355/0/172,85825/0/50665/0/172,0/0/50665/0/172,88498/0/50937/0/172,88520/0/50937/0/172,0/0/50937/0/172,0/0/50937/0/172,0/0/50937/0/172
"Sierra Leone",SL,,,5245695,1147770/0/7623/0/125,1480815/0/7665/0/125,1743563/390698/7674/0/125,1987563/412416/7681/0/125,2195532/420995/7682/0/125,2621469/428517/7695/0/125,2645861/0/7734/0/125,2904587/0/7747/0/126,3122384/0/7751/0/126,3513208/0/7754/0/126,3830958/0/7759/0/126,4506129/0/7760/0/126,0/0/7760/0/126,4702952/0/7760/0/126,5015637/0/7762/0/125,5113414/0/7762/0/125,5252127/0/7762/0/125,5399967/0/7762/0/125,0/0/7762/0/125
Singapore,SG,,,4701069,4932821/0/352811/0/855,4989319/0/724424/0/1019,5006455/0/1096428/0/1268,5012895/0/1193250/0/1335,5016498/0/1303294/0/1389,5019768/0/1444068/0/1413,5022441/0/1714056/0/1500,5023631/0/1839244/0/1592,5161486/0/1907907/0/1618,5165935/0/2102372/0/1680,5156368/0/2167897/0/1703,5160813/0/2202214/0/1711,5160551/0/2217110/0/1722,0/0/2226397/0/1722,0/0/2270279/0/1722,0/0/2368597/0/1722,0/0/2459457/0/1722,0/0/2506870/0/1841,0/0/2530202/0/1872
Slovakia,SK,,,5450421,2797186/48006811/1569299/0/17830,2817319/49642238/2119358/0/18485,2819708/50629438/2443137/0/19352,2821145/51044516/2528216/0/19879,2821854/51186331/2542564/0/20100,2822347/51238482/2551116/0/20147,2822919/0/2581047/0/20223,0/0/2580748/0/20236,0/0/2625317/0/20457,0/0/2643182/0/20606,0/0/2650230/0/20733,0/0/2657292/0/20823,0/0/2660689/0/20942,0/0/2665303/0/21021,0/0/1865471/0/21107,0/0/1866312/0/21167,0/0/1866857/0/21167,0/0/1866857/0/21167,0/0/1866857/0/21167
Slovenia,SI,,,2080908,1261090/2607603/710821/0/5866,1263839/4425298/892620/0/6307,1264693/4831995/968109/0/6487,1265209/5109078/1010058/0/6592,1265649/5271982/1025030/0/6637,1265791/5336373/1038716/0/6651,1265802/0/1083067/0/6698,0/0/1126715/0/6783,0/0/1183392/0/6822,0/0/1233482/0/6889,0/0/1258446/0/6933,0/0/1307442/0/7008,0/0/1321579/0/7056,0/0/1328222/0/7071,0/0/1341066/0/9227,0/0/1343472/0/9304,0/0/1344317/0/9379,0/0/1344559/0/9410,0/0/1344613/0/9427
"Solomon Islands",SB,,,559198,195262/0/1183/0/9,206118/0/7049/0/99,235668/0/11470/0/133,283298/0/14786/0/141,283298/0/18174/0/146,283298/0/21544/0/153,289502/0/21544/0/153,303164/0/21544/0/153,307951/0/21544/0/153,343821/0/21544/0/153,0/0/24575/0/153,0/0/24575/0/153,0/0/24575/0/153,0/0/24575/0/153,0/0/24575/0/153,0/0/24575/0/153,0/0/21611/0/153,0/0/21611/0/153,0/0/21611/0/153
Somalia,SO,,,10112453,1305856/0/25388/0/1335,1479158/0/26313/0/1348,1929472/400466/26410/0/1361,2173928/0/26485/0/1361,2298052/493663/26565/0/1361,2645189/501224/26803/0/1361,2807072/0/26957/0/1361,3532736/0/27020/0/1361,4661532/0/27214/0/1361,7137557/0/27237/0/1361,7137557/0/27286/0/1361,7524443/0/27300/0/1361,7729842/0/27318/0/1361,0/0/27324/0/1361,0/0/27334/0/1361,8370355/0/27334/0/1361,0/0/27334/0/1361,0/0/27334/0/1361,0/0/27334/0/1361
"South Africa",ZA,,,49000000,19611652/22303586/3605222/0/95093,20396606/23111817/3674042/0/99412,20954169/23866743/3718953/0/100032,21302363/24492958/3791125/0/100363,21759015/25288429/3957777/0/101190,22035325/25637671/3993444/0/101764,22154824/0/4005124/0/101982,22260487/0/4011937/0/102084,22330558/0/4019077/0/102185,22397220/0/4028308/0/102311,22469707/0/4041890/0/102428,22500578/0/4049202/0/102568,0/0/4055966/0/102595,23970891/0/4063573/0/102595,24165157/0/4072533/0/102595,24165157/0/4072533/0/102595,24209938/0/4072533/0/102595,24210953/0/4072533/0/102595,0/0/4072533/0/102595
"South Sudan",SS,,,8260490,296056/322049/16794/0/137,381712/330958/16973/0/137,526243/360619/17262/0/138,643273/381528/17461/0/138,681305/395064/17617/0/138,1164135/410280/17722/0/138,1411298/0/17733/0/138,1684428/0/17823/0/138,2069293/0/17823/0/138,2143114/0/17823/0/138,2162055/0/18350/0/138,2264058/0/18368/0/138,2295561/0/18368/0/138,3123255/0/18368/0/138,3168422/0/18368/0/138,4124509/0/18368/0/138,4262480/0/18368/0/138,0/0/18368/0/138,0/0/18368/0/138
Spain,ES,,,46937060,40927320/82414184/9961253/0/93225,41076523/85907287/10977524/0/99410,41153657/88709671/11508309/0/102218,41200263/90401729/11896152/0/104456,41238389/92417832/12326264/0/106341,41259173/93162168/12734038/0/107906,41277964/0/13226579/0/110719,41292888/0/13342530/0/112600,41307428/0/13422984/0/114179,41310693/0/13511768/0/115078,0/0/13595504/0/115901,41333243/0/13684258/0/117095,41340052/0/13731478/0/118434,41343396/0/13763336/0/119380,41347499/0/13798747/0/120426,41349325/0/13825052/0/120715,41351234/0/13868227/0/121213,0/0/13970616/0/121724,0/0/13980340/0/121852
"Sri Lanka",LK,,,21513990,16676234/7080721/611185/0/15441,16904417/7385672/646034/0/16222,17008012/7555776/661631/0/16477,17033222/7632249/663362/0/16504,17072205/7674719/663834/0/16517,17074744/7691045/664123/0/16521,17105217/0/665739/0/16556,17113891/0/669957/0/16698,17130182/0/670773/0/16761,17143761/0/671087/0/16780,0/0/671682/0/16803,0/0/671891/0/16817,0/0/671989/0/16828,0/0/672030/0/16830,0/0/672074/0/16834,0/0/672171/0/16842,0/0/672467/0/16873,0/0/672542/0/16879,0/0/672564/0/16880
Sudan,SD,,,35000000,3194518/0/57632/0/3441,5126250/562941/61458/0/3908,5711150/0/61955/0/4907,5929766/0/62117/0/4931,5929766/0/62355/0/4942,6651268/0/62624/0/4951,0/0/63006/0/4957,0/0/63228/0/4961,0/0/63285/0/4961,0/0/63481/0/4972,9925691/0/63637/0/4990,10504568/0/63686/0/4994,0/0/63742/0/5001,12579213/0/63787/0/5011,12628561/0/63922/0/5034,15207452/0/63993/0/5046,0/0/63993/0/5046,0/0/63993/0/5046,0/0/63993/0/5046
"Summer Olympics 2020",,,,,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Suriname,SR,,,492829,264930/72284/73769/0/1263,266344/78777/78216/0/1317,267335/81763/79221/0/1324,267593/82252/79336/0/1328,267820/83312/80547/0/1350,0/84184/80864/0/1369,0/0/80966/0/1380,0/0/81039/0/1383,0/0/81106/0/1385,0/0/81185/0/1390,0/0/81581/0/1393,0/0/81581/0/1393,0/0/82020/0/1398,0/0/82227/0/1400,0/0/82467/0/1404,0/0/82495/0/1404,0/0/82513/0/1405,0/0/82563/0/1406,0/0/82588/0/1408
Sweden,SE,,,10230185,7776581/17462068/2070456/0/15855,7805996/18004764/2441142/0/17142,7819532/18180025/2487852/0/18365,7826928/18283111/2500917/0/18772,7834087/18366054/2507948/0/18977,7838695/18407585/2519199/0/19124,0/0/2539715/0/19358,7845381/0/2564423/0/19810,7820584/0/2588441/0/20225,7811112/0/2611580/0/20659,7813295/0/2626686/0/21034,7815633/0/2674862/0/21827,7817893/0/2693458/0/23279,7818925/0/2697827/0/23662,7775726/0/2701687/0/23861,0/0/2706122/0/24070,0/0/2710429/0/24371,0/0/2712743/0/24536,0/0/2712743/0/24536
Switzerland,CH,,,8544527,6071477/17183508/2220539/0/12708,6077220/18777293/2801951/0/13101,6080036/20355955/3497499/0/13564,6081455/20842011/3619598/0/13712,6085389/21125730/3674986/0/13800,6088436/21277734/3759730/0/13831,6091354/0/3949259/0/13891,6092398/0/4045011/0/13974,6093079/0/4103959/0/14009,6094376/0/4232022/0/14065,6095470/0/4337983/0/14137,6095281/0/4399516/0/14173,6095879/0/4407915/0/14244,6096252/0/4412439/0/14203,6096603/0/4397667/0/13977,6096788/0/4402432/0/13995,6096886/0/4405935/0/14017,6096910/0/4406991/0/14024,6096911/0/4407387/0/14026
Syria,SY,,,22198110,2277523/0/51402/0/2989,2239981/156185/54575/0/3075,2353234/165175/55695/0/3141,2466320/167560/55813/0/3150,2544641/175957/55892/0/3150,2748571/0/55927/0/3150,2842478/0/56275/0/3150,2940095/0/57043/0/3163,3015708/0/57302/0/3163,3050850/0/57360/0/3163,0/0/57399/0/3163,3179030/0/57423/0/3163,3209797/0/57453/0/3164,0/0/57467/0/3164,0/0/57423/0/3163,3295630/0/57423/0/3163,0/0/57423/0/3163,0/0/57423/0/3163,0/0/57423/0/3163
Taiwan*,TW,,,22894384,19091332/5702328/18790/0/851,19348245/6364643/20489/0/853,19460769/7093335/23394/0/853,19749743/8566353/115883/0/865,20703963/11383276/2032983/0/2255,21183085/13021521/3767283/0/6651,21320752/0/4588185/0/8927,21531302/0/5308029/0/9914,21721462/0/6461400/0/11053,21777653/0/7712726/0/12831,21807355/0/8313366/0/14334,21829864/0/8847360/0/15253,21855524/0/9537823/0/16308,21869389/0/9970937/0/17672,21877888/0/9970937/0/17672,21885289/0/0/0/0,0/0/0/0/0,21893342/0/0/0/0,21895519/0/0/0/0
Tajikistan,TJ,,,7487489,4522962/0/17706/0/125,4916961/0/17786/0/125,5129284/0/17786/0/125,5182002/0/17786/0/125,5189877/0/17786/0/125,5220731/0/17786/0/125,0/0/17786/0/125,5282863/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,5311967/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125,0/0/17786/0/125
Tanzania,TZ,,,41892895,2545391/0/33230/0/789,3223953/455776/33620/0/798,3941772/0/33815/0/800,6483895/0/33872/0/803,6483895/0/35354/0/840,7588592/0/35768/0/841,13445924/0/37510/0/841,19222429/0/38712/0/841,21798918/0/39440/0/845,26392125/0/39920/0/845,28848632/0/40656/0/845,31191545/0/42351/0/845,0/0/42664/0/846,33903098/0/42823/0/846,34434933/0/42959/0/846,0/0/42973/0/846,0/0/43078/0/846,0/0/43078/0/846,0/0/43078/0/846
Thailand,TH,,,67089500,52151162/19460492/2447964/0/22185,53644300/21146224/2891927/0/22933,55574475/22935907/3656726/0/25222,56113525/23931655/4262484/0/28617,56518255/24711570/4455020/0/30047,56716681/24733803/4522915/0/30648,56842387/0/4592284/0/31404,56946416/0/4652923/0/32328,57005497/0/4682132/0/32771,0/0/4692448/0/32955,0/0/4707244/0/33180,0/0/4721808/0/33594,0/0/4726984/0/33865,0/0/4728035/0/33911,0/0/4728799/0/33938,0/0/4732301/0/33957,0/0/4741958/0/34095,0/0/4752422/0/34371,0/0/4754784/0/34418
Timor-Leste,TL,,,1154625,672455/0/19946/0/122,679946/247931/22693/0/128,724669/252951/22830/0/130,781062/262824/22865/0/130,807407/264839/22915/0/131,825977/0/22957/0/133,843385/0/22999/0/133,848974/0/23170/0/138,853527/0/23257/0/138,859542/0/23301/0/138,872617/0/23343/0/138,878845/0/23386/0/138,882547/0/23415/0/138,883018/0/23418/0/138,883178/0/23423/0/138,883561/0/23428/0/138,883993/0/23450/0/138,884194/0/23457/0/138,0/0/23460/0/138
Togo,TG,,,6587239,1415448/664424/36491/0/268,0/692021/36798/0/272,1556974/719140/36939/0/272,2037429/731018/36985/0/273,2518289/740511/37095/0/273,2092750/749695/37403/0/275,2138953/0/38084/0/279,2159001/0/38491/0/282,2164950/0/39053/0/285,2232792/0/39299/0/290,2239907/0/39328/0/290,2242455/0/39343/0/290,2244456/0/39354/0/290,0/0/39377/0/290,2244456/0/39450/0/290,2246404/0/39487/0/290,2248264/0/39499/0/290,0/0/39504/0/290,2248264/0/39510/0/290
Tokelau,TK,,,1466,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,1339/0/0/0/0,1339/0/0/0/0,0/0/0/0/0,1494/0/0/0/0,0/0/0/0/0,2203/0/0/0/0,0/0/0/0/0,0/0/5/0/0,0/0/5/0/0,0/0/5/0/0,0/0/5/0/0,0/0/19/0/0,0/0/80/0/0
Tonga,TO,,,122580,74004/0/1/0/0,76910/0/355/0/1,0/0/6423/0/6,77994/0/10196/0/11,81816/0/11644/0/12,108263/0/12301/0/12,86673/0/12554/0/12,90719/0/15235/0/12,0/0/16182/0/12,90881/0/16182/0/12,91949/0/16182/0/12,0/0/16211/0/12,0/0/16734/0/13,87265/0/16801/0/13,0/0/16814/0/12,87342/0/16814/0/12,0/0/16817/0/12,0/0/16819/0/12,0/0/16819/0/12
"Trinidad and Tobago",TT,,,1228691,734014/0/111549/0/3404,741641/634632/127767/0/3628,746249/674626/137860/0/3750,747540/705426/147867/0/3829,749638/749409/161584/0/3917,751282/768404/167097/0/4011,752271/0/171510/0/4053,753078/0/179146/0/4144,753588/0/183181/0/4207,0/0/184713/0/4249,0/0/185377/0/4267,0/0/186033/0/4283,0/0/187908/0/4326,0/0/189296/0/4347,0/0/191007/0/4372,0/0/191350/0/4387,0/0/191496/0/4390,0/0/191496/0/4390,0/0/191496/0/4390
Tunisia,TN,,,10589025,7105519/4077300/909813/0/26288,7160078/4350544/998230/0/27784,7174500/4521880/1035884/0/28323,7189498/4584296/1040193/0/28550,7229872/4632454/1042872/0/28641,7234385/4647813/1052180/0/28691,8892359/0/1128693/0/29041,8896227/0/1143862/0/29234,8896848/0/1145686/0/29249,7209983/0/1146152/0/29257,7215716/0/1147072/0/29268,7217098/0/1147571/0/29284,7217571/0/1150356/0/29308,7217958/0/1150962/0/29331,7218234/0/1151832/0/29362,7218419/0/1152612/0/29387,7218804/0/1153323/0/29420,7218871/0/1153361/0/29423,0/0/1153361/0/29423
Turkey,TR,,,82003882,57437044/132050132/11619882/0/87416,57690044/144505596/14089456/0/94445,57781315/154333732/14860560/0/98033,57818995/159424435/15032093/0/98771,57843685/163164533/15072747/0/98965,57858728/0/15123331/0/99032,57886857/0/15889495/0/99341,57914793/0/16671848/0/100400,57928495/0/16873793/0/101139,57936783/0/16919638/0/101203,57941051/0/16919638/0/101203,0/0/16919638/0/101203,0/0/17042722/0/101492,0/0/17042722/0/101492,0/0/17004677/0/101419,0/0/17004677/0/101419,0/0/17004677/0/101419,0/0/17004677/0/101419,0/0/17004677/0/101419
Tuvalu,TV,,,10472,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,6368/0/0/0/0,0/0/0/0/0,0/0/0/0/0,9452/0/0/0/0,0/0/20/0/0,0/0/20/0/0,0/0/23/0/0,0/0/2805/0/0,0/0/2805/0/0,0/0/2805/0/0,0/0/2805/0/0,0/0/2779/0/0,0/0/2779/0/0,0/0/2779/0/0,0/0/2943/0/1,0/0/2943/0/1
US,US,,,310232863,250184240/790088407/74982823/0/889332,253629644/824135442/79051482/0/951335,255709486/109192/80110651/0/980952,257747817/110998/81363361/0/994050,258685370/114205/84235271/0/1007198,260281799/115079/87677197/0/1017425,261586806/0/91361671/0/1030393,263073808/0/94555767/0/1046595,264514327/0/96379334/0/1059772,266401911/0/97505662/0/1070622,267558339/0/98816411/0/1080761,268533408/0/100781931/0/1093051,269154661/0/102362224/0/1108756,269609954/0/103443455/0/1119917,270035869/0/24863/0/130,270128395/0/24919/0/130,270227181/0/25086/0/131,0/0/25245/0/131,0/0/1252713/0/5938
US,US,Alabama,US-AL,4903185,0/0/1218257/0/17086,0/0/1279565/0/18225,0/0/1295327/0/19290,0/0/1300733/0/19567,0/0/1314963/0/19664,0/0/1357266/0/19755,0/0/1424411/0/19891,0/0/1479605/0/20048,0/0/1522135/0/20422,0/0/1534287/0/20558,0/0/1549285/0/20652,0/0/1568934/0/20737,0/0/1610535/0/20870,0/0/1638348/0/20932,0/0/1644533/0/21032,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Alaska,US-AK,731545,0/0/216939/0/1085,0/0/239494/0/1163,0/0/247211/0/1228,0/0/253002/0/1252,0/0/260059/0/1285,0/0/272415/0/1285,0/0/283643/0/1309,0/0/294498/0/1338,0/0/298178/0/1364,0/0/300177/0/1413,0/0/299869/0/1436,0/0/301432/0/1455,0/0/304368/0/1473,0/0/307073/0/1486,0/0/307655/0/1486,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,"American Samoa",US-AS,55641,0/0/18/0/0,0/0/84/0/0,0/0/3483/0/3,0/0/5822/0/26,0/0/6145/0/31,0/0/6414/0/31,0/0/7471/0/33,0/0/8168/0/34,0/0/8247/0/34,0/0/8257/0/34,0/0/8263/0/34,0/0/8266/0/34,0/0/8320/0/34,0/0/8320/0/34,0/0/8320/0/34,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Arizona,US-AZ,7278717,0/0/1870644/0/26205,0/0/1976890/0/27946,0/0/2007180/0/29268,0/0/2021524/0/29951,0/0/2049627/0/30299,0/0/2125567/0/30515,0/0/2196429/0/30768,0/0/2254374/0/31114,0/0/2271560/0/31370,0/0/2287886/0/31548,0/0/2337547/0/31751,0/0/2378334/0/32182,0/0/2398200/0/32775,0/0/2434631/0/33042,0/0/2443514/0/33102,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Arkansas,US-AR,3017825,0/0/776759/0/9628,0/0/819984/0/10524,0/0/832922/0/11230,0/0/835857/0/11389,0/0/843362/0/11484,0/0/865592/0/11581,0/0/903931/0/11719,0/0/932639/0/11918,0/0/951644/0/12165,0/0/959855/0/12489,0/0/968871/0/12564,0/0/985493/0/12695,0/0/996758/0/12852,0/0/1004752/0/12980,0/0/1006883/0/13020,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,California,US-CA,39512223,0/0/8437070/0/80044,0/0/8980827/0/85463,0/0/9109352/0/88950,0/0/9237685/0/90213,0/0/9625495/0/91382,0/0/10145081/0/92249,0/0/10705079/0/93491,0/0/11099631/0/94885,0/0/11269678/0/95965,0/0/11368587/0/96890,0/0/11526709/0/97529,0/0/11834489/0/98637,0/0/12001227/0/100078,0/0/12097613/0/100726,0/0/12129699/0/101159,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Colorado,US-CO,5758736,0/0/1253042/0/11115,0/0/1313779/0/11772,0/0/1346626/0/11974,0/0/1383024/0/12150,0/0/1447882/0/12549,0/0/1535804/0/12771,0/0/1603212/0/13078,0/0/1631016/0/13166,0/0/1654798/0/13316,0/0/1674883/0/13421,0/0/1708264/0/13609,0/0/1734782/0/13882,0/0/1749006/0/14034,0/0/1760491/0/14106,0/0/1764401/0/14181,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Connecticut,US-CT,3565287,0/0/699400/0/10010,0/0/723389/0/10470,0/0/736033/0/10779,0/0/758281/0/10850,0/0/809194/0/10941,0/0/828968/0/11045,0/0/854582/0/11102,0/0/875076/0/11269,0/0/896893/0/11365,0/0/913153/0/11463,0/0/926947/0/11587,0/0/948943/0/11781,0/0/966860/0/11964,0/0/975241/0/12145,0/0/976657/0/12220,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Delaware,US-DE,973764,0/0/248111/0/2531,0/0/256621/0/2709,0/0/259647/0/2846,0/0/262461/0/2907,0/0/276639/0/2956,0/0/285046/0/2984,0/0/294041/0/3024,0/0/302738/0/3042,0/0/308713/0/3111,0/0/313383/0/3147,0/0/316956/0/3172,0/0/321888/0/3206,0/0/325872/0/3254,0/0/330332/0/3309,0/0/330793/0/3324,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,"Diamond Princess",,3711,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/49/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,"District of Columbia",US-DC,705749,0/0/129817/0/1284,0/0/134564/0/1318,0/0/136886/0/1333,0/0/141943/0/1340,0/0/149638/0/1342,0/0/156802/0/1349,0/0/162519/0/1364,0/0/166166/0/1381,0/0/168514/0/1392,0/0/169709/0/1397,0/0/171317/0/1403,0/0/173386/0/1411,0/0/176012/0/1422,0/0/177504/0/1427,0/0/177945/0/1432,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,"Federal Bureau of Prisons",,,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Florida,US-FL,21477737,0/0/5535803/0/65265,0/0/5844096/0/70084,0/0/5885004/0/73138,0/0/5942723/0/73948,0/0/6159702/0/74550,0/0/6482295/0/75800,0/0/6833033/0/77565,0/0/7042096/0/79853,0/0/7150188/0/81416,0/0/7192835/0/82176,0/0/7239478/0/82875,0/0/7338503/0/83906,0/0/7443954/0/84927,0/0/7516906/0/86294,0/0/7574590/0/86850,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Georgia,US-GA,10617423,0/0/2368052/0/32976,0/0/2465056/0/35415,0/0/2499431/0/36987,0/0/2515139/0/37806,0/0/2556044/0/38198,0/0/2647568/0/38579,0/0/2750915/0/39050,0/0/2870629/0/39772,0/0/2905400/0/40281,0/0/2920663/0/40626,0/0/2943519/0/41070,0/0/2985193/0/41417,0/0/3027856/0/41915,0/0/3061485/0/42332,0/0/3068208/0/42489,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,"Grand Princess",,3533,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/103/0/3,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Guam,US-GU,165718,0/0/32331/0/290,0/0/44344/0/322,0/0/47265/0/346,0/0/48142/0/354,0/0/49056/0/363,0/0/51898/0/372,0/0/55208/0/380,0/0/57947/0/389,0/0/58577/0/401,0/0/58835/0/403,0/0/59330/0/409,0/0/60020/0/411,0/0/60778/0/416,0/0/60989/0/420,0/0/61027/0/420,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Hawaii,US-HI,1415872,0/0/219288/0/1181,0/0/236151/0/1334,0/0/240778/0/1379,0/0/248405/0/1418,0/0/274495/0/1451,0/0/308695/0/1504,0/0/325944/0/1571,0/0/339514/0/1644,0/0/355959/0/1686,0/0/361817/0/1704,0/0/367352/0/1737,0/0/372198/0/1761,0/0/376977/0/1786,0/0/379100/0/1822,0/0/380608/0/1841,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Idaho,US-ID,1787147,0/0/380302/0/4421,0/0/426164/0/4751,0/0/443930/0/4873,0/0/446040/0/4927,0/0/450957/0/4940,0/0/462978/0/4973,0/0/478662/0/5035,0/0/489400/0/5115,0/0/495873/0/5176,0/0/499849/0/5216,0/0/506232/0/5268,0/0/511601/0/5316,0/0/515002/0/5357,0/0/518431/0/5393,0/0/521120/0/5416,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Illinois,US-IL,12671821,0/0/2920971/0/33346,0/0/3031220/0/35196,0/0/3068237/0/35810,0/0/3138682/0/36047,0/0/3302423/0/38135,0/0/3430843/0/38588,0/0/3563653/0/38882,0/0/3687549/0/39328,0/0/3762220/0/39698,0/0/3814648/0/39997,0/0/3877441/0/40303,0/0/3969832/0/40678,0/0/4019768/0/41088,0/0/4062200/0/41379,0/0/4083292/0/41496,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Indiana,US-IN,6732219,0/0/1623439/0/21356,0/0/1681685/0/22843,0/0/1690823/0/23373,0/0/1702292/0/23587,0/0/1730761/0/23700,0/0/1772183/0/23877,0/0/1828734/0/24106,0/0/1895799/0/24454,0/0/1921993/0/24708,0/0/1937565/0/24900,0/0/1965757/0/25164,0/0/2002760/0/25364,0/0/2024969/0/25861,0/0/2043069/0/26045,0/0/2051104/0/26115,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
US,US,Iowa,US-IA,3155070,0/0/712288/0/8501,0/0/748849/0/9085,0/0/758463/0/9445,0/0/763782/0/9529,0/0/776165/0/9587,0/0/796611/0/9688,0/0/817159/0/9782,0/0/842647/0/9940,0/0/856096/0/10077,0/0/862925/0/10177,0/0/873597/0/10294,0/0/886411/0/10424,0/0/894126/0/10567,0/0/900343/0/10671,0/0/903991/0/10725,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
